"x","y","value","class"
1,1,1.21698281489819,"Stroma"
2,1,1.61503588406964,"Tumor"
3,1,1.9944636369802,"Tumor"
4,1,1.80272401239373,"Blank"
5,1,1.7023288637516,"Blank"
6,1,0.905343159546911,"Tumor"
7,1,0.455527073011519,"Stroma"
8,1,0.187918201713589,"Immune"
9,1,-0.0266683966035322,"Blank"
10,1,-0.301862828289828,"Tumor"
11,1,0.228256892862579,"Immune"
12,1,0.822939887409272,"Stroma"
13,1,0.941349521992027,"Immune"
14,1,1.60160449368189,"Immune"
15,1,1.32652614933873,"Blank"
16,1,2.43192124208353,"Blank"
17,1,1.52894096075278,"Tumor"
18,1,0.897825800861032,"Blank"
1,2,1.4064440526561,"Tumor"
2,2,1.54233606247794,"Tumor"
3,2,1.61457213002732,"Blank"
4,2,1.52958783783237,"Blank"
5,2,1.25242861926412,"Tumor"
6,2,0.678097654153698,"Stroma"
7,2,-0.182329552088151,"Tumor"
8,2,-0.174012732884933,"Stroma"
9,2,-0.0725513852073946,"Tumor"
10,2,-0.249569336341875,"Tumor"
11,2,-0.203201938646305,"Immune"
12,2,0.438838025442356,"Immune"
13,2,0.751579903491111,"Immune"
14,2,1.36624313920781,"Immune"
15,2,1.27280253130606,"Immune"
16,2,1.66873321355627,"Tumor"
17,2,1.1906986879384,"Blank"
18,2,0.796863308826675,"Stroma"
1,3,0.776438667394534,"Tumor"
2,3,0.776586031962387,"Blank"
3,3,1.16493105252758,"Blank"
4,3,1.43834710490083,"Tumor"
5,3,0.590180321935837,"Immune"
6,3,0.392387048334384,"Stroma"
7,3,-0.273668922266113,"Tumor"
8,3,-0.890511804691554,"Tumor"
9,3,-1.27555922750685,"Stroma"
10,3,-1.03668646644583,"Tumor"
11,3,-0.571691049690719,"Immune"
12,3,-0.465213411500705,"Blank"
13,3,0.304227481486563,"Stroma"
14,3,0.65351746435112,"Tumor"
15,3,0.875146109530333,"Immune"
16,3,1.23942073879523,"Tumor"
17,3,0.582819911057023,"Tumor"
18,3,0.0340138430869442,"Stroma"
1,4,0.423667861425882,"Tumor"
2,4,0.286483701459941,"Stroma"
3,4,0.591067780573238,"Stroma"
4,4,0.661669298737656,"Stroma"
5,4,0.0646812560066182,"Blank"
6,4,-0.241347626274211,"Stroma"
7,4,-0.894056777880612,"Blank"
8,4,-1.43052975824983,"Blank"
9,4,-1.51410939230239,"Tumor"
10,4,-1.49555097246897,"Tumor"
11,4,-1.15469798895326,"Blank"
12,4,-0.784747644634722,"Immune"
13,4,-0.425687121403763,"Immune"
