"x","y","value","class"
1,1,1.56184567899288,"Tumor"
2,1,1.59097690210989,"Blank"
3,1,2.01699117856444,"Immune"
4,1,1.69383609605113,"Immune"
5,1,1.36974455168421,"Blank"
6,1,1.06553524486717,"Immune"
7,1,0.412130450668478,"Stroma"
8,1,0.127229695518186,"Tumor"
9,1,-0.584167028906294,"Stroma"
10,1,-0.121313446619652,"Stroma"
11,1,0.17261097411148,"Immune"
12,1,0.195286887627534,"Stroma"
13,1,1.2826200294496,"Blank"
14,1,1.39207842953505,"Blank"
15,1,1.72560457118742,"Blank"
16,1,1.88191340760811,"Tumor"
17,1,1.49907124473813,"Tumor"
18,1,1.82534426186485,"Tumor"
1,2,0.717042499438742,"Blank"
2,2,1.22339756499132,"Immune"
3,2,1.18853642292267,"Stroma"
4,2,1.40496244944018,"Tumor"
5,2,1.05284244488206,"Stroma"
6,2,0.439356264876053,"Blank"
7,2,0.142278410715935,"Blank"
8,2,-0.12180260255058,"Blank"
9,2,-0.210545096538044,"Stroma"
10,2,-0.511933340304747,"Tumor"
11,2,0.0539139006823231,"Blank"
12,2,0.0943240942872546,"Immune"
13,2,0.657392496595193,"Immune"
14,2,1.03193586616474,"Tumor"
15,2,1.36656146979411,"Stroma"
16,2,1.56191508196418,"Blank"
17,2,1.46404375317226,"Stroma"
18,2,0.945642087303794,"Immune"
1,3,0.771999219136577,"Immune"
2,3,0.733588778145188,"Immune"
3,3,0.806970317206469,"Immune"
4,3,0.800259322478418,"Immune"
5,3,0.435539595407744,"Stroma"
6,3,0.47744192905964,"Blank"
7,3,-0.0886907412319433,"Tumor"
8,3,-0.651731268412188,"Tumor"
9,3,-0.90403929501769,"Tumor"
10,3,-0.583115802895688,"Blank"
11,3,-0.756502486008108,"Immune"
12,3,-0.0162783941669228,"Blank"
13,3,0.214413156477701,"Stroma"
14,3,0.5529407606869,"Blank"
15,3,0.880375086790578,"Stroma"
16,3,0.833718791482502,"Tumor"
17,3,0.756072319813442,"Tumor"
18,3,0.754118761178136,"Stroma"
1,4,0.231038949977941,"Immune"
2,4,0.295339492233958,"Immune"
3,4,0.438329834196864,"Tumor"
4,4,0.348876565745858,"Blank"
5,4,0.117834940332201,"Immune"
6,4,-0.354199993511376,"Blank"
7,4,-1.25258362743047,"Tumor"
8,4,-1.1062569050968,"Tumor"
9,4,-1.43023183697754,"Immune"
10,4,-1.22641343667924,"Stroma"
11,4,-1.25256410268835,"Stroma"
12,4,-0.381068975409981,"Immune"
13,4,-0.470490354061197,"Stroma"
14,4,-0.0907103436639068,"Blank"
15,4,0.427303962343572,"Stroma"
16,4,0.646073471836934,"Tumor"
17,4,0.539902696872144,"Immune"
18,4,0.348355141994749,"Tumor"
1,5,-0.294456560679158,"Blank"
2,5,0.153825173345644,"Immune"
3,5,0.25115483089236,"Blank"
