"group","cell_type","value"
"Healthy","Type 1",0.313926175242184
"Tumor","Type 1",0.142997474293169
"Treated","Type 1",0.248250076517616
"Healthy","Type 2",0.2290881712796
"Tumor","Type 2",0.127602649304792
"Treated","Type 2",0.168245928146251
"Healthy","Type 3",0.204252991663305
"Tumor","Type 3",0.0113626103197228
"Treated","Type 3",0.269262967430933
"Healthy","Type 4",0.0250759307497654
"Tumor","Type 4",0.28950206699097
"Treated","Type 4",0.0970124417911727
"Healthy","Type 5",0.0316363294958145
"Tumor","Type 5",0.418419784841643
"Treated","Type 5",0.115964510749356
"Healthy","Type 6",0.196020401569331
"Tumor","Type 6",0.0101154142497047
"Treated","Type 6",0.101264075364672
