"cluster","cx","cy","x","y","expr"
"Cluster 1",-3,1.8,-3.13120906640935,1.11071865315118,2.22322323682133
"Cluster 1",-3,1.8,-2.74952053257892,1.36854138045173,0.0275545199360439
"Cluster 1",-3,1.8,-3.33983711701323,1.22498331153447,0.762046108386557
"Cluster 1",-3,1.8,-2.96429952630152,1.70897069370565,1.58567693352123
"Cluster 1",-3,1.8,-3.1313041280388,2.02314370380282,1.62656288758184
"Cluster 1",-3,1.8,-1.9862273754862,2.16146914392735,0.667946719876236
"Cluster 1",-3,1.8,-3.69946367612381,1.0897092717109,0.574123755363486
"Cluster 1",-3,1.8,-2.02958871486474,1.84037388054205,0.380448131675643
"Cluster 1",-3,1.8,-3.1943570387472,1.25753859542513,0
"Cluster 1",-3,1.8,-3.18345122350525,1.69852636286025,1.30114131815335
"Cluster 1",-3,1.8,-3.49090846525623,1.77000229459977,0.285425505428003
"Cluster 1",-3,1.8,-2.88632842561525,0.958594146204958,1.06178145998453
"Cluster 1",-3,1.8,-2.7234117196877,2.3490622690414,0.263396562994715
"Cluster 1",-3,1.8,-2.85811047563264,1.77126262605276,0.965035615417882
"Cluster 1",-3,1.8,-2.85092178639117,1.69104102091609,0.455884634738158
"Cluster 1",-3,1.8,-3.83005162608444,1.54622609626676,0.376801252190061
"Cluster 1",-3,1.8,-3.43922299974259,2.37951926952843,0.566174677969645
"Cluster 1",-3,1.8,-2.53442993302839,2.419256193093,0.837944471228129
"Cluster 1",-3,1.8,-2.48860270565937,2.08526437353063,0.201988726259099
"Cluster 1",-3,1.8,-3.01086264373497,1.80529179003909,0.632636606824153
"Cluster 1",-3,1.8,-3.36152323873815,1.96221845093689,0
"Cluster 1",-3,1.8,-2.75409850193735,1.51686767804407,0
"Cluster 1",-3,1.8,-3.17462683499927,1.63078950540629,0.683204698719738
"Cluster 1",-3,1.8,-3.20078927185029,2.21318257530299,1.74580167151536
"Cluster 1",-3,1.8,-3.53503369819121,1.63178399965128,0
"Cluster 1",-3,1.8,-2.91472505478117,2.60187991524793,0
"Cluster 1",-3,1.8,-2.19108431324875,1.29586128045699,0
"Cluster 1",-3,1.8,-2.7406595903344,2.22039419675896,1.03525118117215
"Cluster 1",-3,1.8,-2.60427434440737,0.90520228946146,1.16141412923838
"Cluster 1",-3,1.8,-2.6513321856795,1.99183675480644,0.891361479579486
"Cluster 1",-3,1.8,-2.03266264966077,1.39042528472567,0.125405899249602
"Cluster 1",-3,1.8,-3.22234642806557,1.44331271402872,0.571555853480092
"Cluster 1",-3,1.8,-3.21219580592344,1.37385081390636,1.71587777673863
"Cluster 1",-3,1.8,-2.29007766178369,1.75291381682237,1.89906891449389
"Cluster 1",-3,1.8,-3.05791412770794,1.85195346517169,2.36416500341935
"Cluster 1",-3,1.8,-2.9665700407543,2.10918557429832,0.0222986600556705
"Cluster 1",-3,1.8,-2.74336165588615,2.01908907716895,0.539669044807387
"Cluster 1",-3,1.8,-2.63764417119285,1.81504608004212,0
"Cluster 1",-3,1.8,-2.91443142483158,1.62153558823197,1.91211107418256
"Cluster 1",-3,1.8,-2.5685772225068,1.76214609592554,0.640013218343144
"Cluster 1",-3,1.8,-3.60233560401808,1.59678296214182,1.28287039504147
"Cluster 1",-3,1.8,-3.12508556545915,1.54033596788331,0.473738654962727
"Cluster 1",-3,1.8,-2.51656701095579,1.80718358294362,1.39762656408306
"Cluster 1",-3,1.8,-2.83858166461496,2.12643331362754,2.21581604163415
"Cluster 1",-3,1.8,-2.81401581189937,1.69312724573502,2.36862296126566
"Cluster 1",-3,1.8,-2.61176104427972,1.94417482459189,0.782572850659668
"Cluster 1",-3,1.8,-3.45762017165141,2.34817220351262,0
"Cluster 1",-3,1.8,-2.59907637558642,1.7574387054427,0.54974537562039
"Cluster 1",-3,1.8,-3.58760957976454,1.71741863727267,0
"Cluster 1",-3,1.8,-3.59382486112562,2.2766846722512,0
"Cluster 1",-3,1.8,-2.80202907474241,1.89017812680242,0.785513691092507
"Cluster 1",-3,1.8,-3.94406316087619,1.96215709427378,1.39255025223054
"Cluster 1",-3,1.8,-2.47268187899314,1.49455859193254,0.430163194099205
"Cluster 1",-3,1.8,-3.73434146906001,1.90945957219296,1.94771934867501
"Cluster 1",-3,1.8,-2.61075552853696,2.02140938618832,0.269321310582418
"Cluster 1",-3,1.8,-3.03067639344824,1.72602113252949,0.117279765167281
