"cluster","cx","cy","x","y","expr"
"Cluster 1",-3,1.8,-2.92264441859685,1.88924300638783,1.4011486693328
"Cluster 1",-3,1.8,-2.83703069451716,2.14996922915641,0.440993490694659
"Cluster 1",-3,1.8,-2.76920665660413,1.70171699627561,0
"Cluster 1",-3,1.8,-2.96470510762714,1.41330207231606,1.52262516470856
"Cluster 1",-3,1.8,-2.94963643133382,2.02671252328143,0.7816417417942
"Cluster 1",-3,1.8,-2.52441207760114,2.19926823702535,0
"Cluster 1",-3,1.8,-3.56882663221568,2.51724099296038,0.821432268333576
"Cluster 1",-3,1.8,-2.64448255264339,2.20499869545624,0.705588676463368
"Cluster 1",-3,1.8,-2.93956113194442,1.98546945714229,1.7632418300188
"Cluster 1",-3,1.8,-3.74248933212718,1.81388432088225,1.07882495385864
"Cluster 1",-3,1.8,-2.97815534572365,2.15937802265613,1.01205025798342
"Cluster 1",-3,1.8,-2.50827921964648,2.93111828071556,1.91353741462376
"Cluster 1",-3,1.8,-3.19952420970607,1.73093136875661,0.845964017029469
"Cluster 1",-3,1.8,-3.37532521894946,0.775952843872209,1.62206942780396
"Cluster 1",-3,1.8,-2.55399137034986,2.12856415075427,1.28350079193444
"Cluster 1",-3,1.8,-2.84112489287889,2.1452776888959,0.403380802332547
"Cluster 1",-3,1.8,-2.58848585327184,1.38631606057223,0
"Cluster 1",-3,1.8,-3.00383487372365,1.93918865892767,0.780673566187686
"Cluster 1",-3,1.8,-3.75812563761879,1.76871422562885,0.403578093619125
"Cluster 1",-3,1.8,-3.21317415254603,2.43938029201349,0.0981620576423728
"Cluster 1",-3,1.8,-3.18134077004962,1.12643506658012,0.552498693350419
"Cluster 1",-3,1.8,-2.92642758652536,1.88750051150309,1.19601472166784
"Cluster 1",-3,1.8,-2.72274266090339,1.78133072092899,1.1067501779979
"Cluster 1",-3,1.8,-2.72006388465134,1.76905300769748,1.53681379069385
"Cluster 1",-3,1.8,-3.23805476899657,1.98953131647487,0.0956003252473205
"Cluster 1",-3,1.8,-3.22570392921687,1.85133803597651,0
"Cluster 1",-3,1.8,-2.42482304970528,1.35596792530497,0.34200821689245
"Cluster 1",-3,1.8,-2.70210521574882,1.52087669429802,1.75810672183563
"Cluster 1",-3,1.8,-2.81906383428421,2.61890371522048,0.790209125273741
"Cluster 1",-3,1.8,-2.77325817637609,1.70308496837492,0.12261241027124
"Cluster 1",-3,1.8,-1.82385348674191,1.73138342928453,1.58142934082114
"Cluster 1",-3,1.8,-3.45490169268757,1.68780341735451,1.98070902787496
"Cluster 1",-3,1.8,-2.60818495011669,2.20318339525128,1.13978400681089
"Cluster 1",-3,1.8,-3.1362090514553,2.05104192897781,1.19404052034542
"Cluster 1",-3,1.8,-3.67339678528093,1.90833610897326,0.939225057086134
"Cluster 1",-3,1.8,-2.66286075353903,2.62727682577272,1.80466664867825
"Cluster 1",-3,1.8,-3.25542442990531,1.67916871022439,0.827082410055989
"Cluster 1",-3,1.8,-3.45744712690412,1.23859230788458,0.933568119497001
"Cluster 1",-3,1.8,-2.66693284234586,1.47088703065117,1.65939614531901
"Cluster 1",-3,1.8,-2.50750828084944,2.27607646696874,0.595359815637328
"Cluster 1",-3,1.8,-3.27555945316125,1.78461805399401,0
"Cluster 1",-3,1.8,-2.64781248949064,1.7098642833002,0
"Cluster 1",-3,1.8,-3.79186332628771,2.98053864677395,0.36877307267154
"Cluster 1",-3,1.8,-3.26068330097819,1.51373375876949,0.607319004116282
"Cluster 1",-3,1.8,-2.50133569558609,1.10266302401938,0.0981977503233543
"Cluster 1",-3,1.8,-2.76607837469902,1.80509234995552,0.152026801942213
"Cluster 1",-3,1.8,-2.22894681389859,1.24326456788841,1.2189936890012
"Cluster 1",-3,1.8,-3.27441867393784,1.68517176850637,0.15161859208819
"Cluster 1",-3,1.8,-2.30855342893315,2.28294353461368,0.156695731340071
"Cluster 1",-3,1.8,-2.03458423631389,1.69748506493271,1.15307818981495
"Cluster 1",-3,1.8,-3.11887755962796,1.98818911468996,1.08417937813953
"Cluster 1",-3,1.8,-3.5144038892586,1.8157402409617,0
"Cluster 1",-3,1.8,-3.25769168509252,1.32297523054644,0
"Cluster 1",-3,1.8,-4.08321616984959,1.9283272307387,0.425260181540078
"Cluster 1",-3,1.8,-2.82706293274842,2.39356337604183,2.36383385660768
"Cluster 1",-3,1.8,-3.1582648174685,1.32335174543024,1.02288557420692
"Cluster 1",-3,1.8,-3.26120833072723,1.62042378458866,0.0697501050627246
"Cluster 1",-3,1.8,-2.71246559904414,1.03907994289006,0.363016061215127
"Cluster 1",-3,1.8,-2.5884462005192,2.431495680351,1.28386015955032
"Cluster 1",-3,1.8,-3.33616700438484,1.86505568079971,0
"Cluster 1",-3,1.8,-2.18270477147475,1.01948172134501,0.540671865471631
"Cluster 1",-3,1.8,-2.58690878623047,1.71035623814593,1.22197658548054
"Cluster 1",-3,1.8,-3.16783729287954,1.88187669295505,0.752343102886074
"Cluster 1",-3,1.8,-2.79021973392758,1.50214590400791,0.55532373648588
"Cluster 1",-3,1.8,-3.36046538036753,2.22224561352408,1.48847076648489
"Cluster 1",-3,1.8,-2.36328694827929,1.4472652427592,1.03326486670594
"Cluster 1",-3,1.8,-3.89417026187563,1.71831536860605,0.337278641434385
"Cluster 1",-3,1.8,-2.76572705193924,2.03150689999945,0.0760815794283157
"Cluster 1",-3,1.8,-3.29222657364012,1.77130400001283,0.595279006127684
"Cluster 1",-3,1.8,-3.31132311408315,1.98927145957388,0.902773767665637
"Cluster 1",-3,1.8,-2.68271254213983,2.10104840884138,0
"Cluster 1",-3,1.8,-3.46886873039123,0.981939316099577,0.874041917264851
"Cluster 1",-3,1.8,-4.07876387863197,1.64630870479033,0.296388025580716
"Cluster 1",-3,1.8,-3.1336321743573,2.09064300776272,0
"Cluster 1",-3,1.8,-2.47464478286807,1.82457885804054,0.117008899880456
"Cluster 1",-3,1.8,-3.08032289961725,1.90347241285218,0.223414624750357
"Cluster 1",-3,1.8,-3.13210344879722,1.36614837974433,0
"Cluster 1",-3,1.8,-2.78728341926045,1.35711383196772,0.738365799405107
"Cluster 1",-3,1.8,-3.00027620252118,1.85361994129938,0
"Cluster 1",-3,1.8,-2.82291316785563,1.54096819513545,0.450158298360024
"Cluster 1",-3,1.8,-3.09602658021601,1.76235410982318,0
"Cluster 1",-3,1.8,-2.45576636357482,1.98264344340856,0.818359130911391
"Cluster 1",-3,1.8,-2.93941193482979,2.55523304915974,1.74761503660669
"Cluster 1",-3,1.8,-3.16328527446569,1.81248070990472,1.15949407681632
"Cluster 1",-3,1.8,-3.74227090121007,1.99300451974394,1.51087554642273
"Cluster 1",-3,1.8,-3.44779339818483,1.89670546576012,1.45410887113329
"Cluster 1",-3,1.8,-3.09432659053178,2.19700411299668,0.278670191304758
"Cluster 1",-3,1.8,-3.08845370804588,2.2479402540361,1.24078116359651
"Cluster 1",-3,1.8,-2.85403805370467,1.85941654651504,1.26845537174338
"Cluster 1",-3,1.8,-2.86194659085683,1.4213694717488,1.26654887813873
"Cluster 1",-3,1.8,-3.86816109932405,1.65005160743073,1.11347289225403
"Cluster 1",-3,1.8,-3.21081984251035,1.73107701817987,1.94564288502179
"Cluster 1",-3,1.8,-3.56851969765101,1.28858869071869,0.224078992039449
"Cluster 1",-3,1.8,-3.72277913634557,1.86897258243291,0.672870430669762
"Cluster 1",-3,1.8,-2.9701163842069,2.05459162475976,0.350036761031113
"Cluster 1",-3,1.8,-2.60337553044339,1.58699272527295,0
"Cluster 1",-3,1.8,-2.70841578448924,1.5353529867749,1.2160507075292
"Cluster 1",-3,1.8,-2.44637233747237,1.01972063671976,1.08650458634302
"Cluster 1",-3,1.8,-2.81270467768534,2.01589305825796,1.90867451883894
"Cluster 1",-3,1.8,-3.20427633196364,2.11297542207317,1.06823505131442
"Cluster 1",-3,1.8,-3.47291951577275,2.37190672225677,1.50813714908005
"Cluster 2",-1,-2.1,-1.34130740545647,-2.53736034004409,0.90440686632626
"Cluster 2",-1,-2.1,-0.167621848312744,-2.5749502799982,2.43529134030887
"Cluster 2",-1,-2.1,-1.56770447074372,-2.35749668838164,3.49299290646647
"Cluster 2",-1,-2.1,-1.03504107333261,-2.41542685156857,2.45865830055453
"Cluster 2",-1,-2.1,-0.682862561356637,-2.29281773222998,2.80796260031534
"Cluster 2",-1,-2.1,-0.817974438710304,-2.1671656308662,0.909430235206307
"Cluster 2",-1,-2.1,-0.851461930041066,-1.74173529330269,1.74261707574313
"Cluster 2",-1,-2.1,-0.985062362136442,-1.33507012099704,2.10794354934486
"Cluster 2",-1,-2.1,-1.07834959251513,-1.89600870775013,2.79057739201247
"Cluster 2",-1,-2.1,-1.60420100889999,-1.99232470345141,0.702492117983536
"Cluster 2",-1,-2.1,-1.01594937398312,-2.11473639268816,2.38063429132584
"Cluster 2",-1,-2.1,-0.840706571854306,-1.40301792737494,3.16599773748093
"Cluster 2",-1,-2.1,-1.05983199166336,-2.79809449363335,2.27794793524323
"Cluster 2",-1,-2.1,-1.03821984507248,-2.25702263547761,2.37231258936187
"Cluster 2",-1,-2.1,-1.15376757309717,-2.06585858412067,3.03133489593239
