"gene","log2FC","pvalue","status"
"G1",-0.343732207669259,1.44812887976003e-06,"NS"
"G2",0.536968836885129,0.05584293959781,"NS"
"G3",0.449249020489545,7.18954857425424e-05,"NS"
"G4",-0.64150211631436,9.11204947674593e-06,"NS"
"G5",-0.641845110869251,3.15825311160537e-05,"NS"
"G6",0.427418288510585,0.000301605371448555,"NS"
"G7",-1.55267435942454,0.272969759467927,"NS"
"G8",-1.32913203443837,0.0896132775996269,"NS"
"G9",1.44241063465883,0.0132681127956578,"NS"
"G10",0.0369868383250944,0.000246411182980103,"NS"
"G11",-0.0940492314214612,2.84472179694431e-06,"NS"
"G12",1.08565477484085,0.0138919574582557,"NS"
"G13",1.9310470964001,0.118464884047784,"NS"
"G14",0.6793404720473,0.0692253223509432,"NS"
"G15",-0.159352343986891,0.000234789472418341,"NS"
"G16",-2.07130487475388,0.000993160688672916,"Down"
"G17",1.13334819479431,0.00108532801532948,"NS"
"G18",1.42427812710628,0.0121389523661893,"NS"
"G19",0.999051657343943,3.30411934751659e-05,"NS"
"G20",1.34199455206537,3.7336027621192e-06,"Up"
"G21",-1.63646855325379,0.0160561921638501,"NS"
"G22",0.876767225819587,0.000453702552511213,"NS"
"G23",0.302354499138619,4.36114106878667e-05,"NS"
"G24",-0.778873753930645,7.70463811837636e-06,"NS"
"G25",-0.213572063867443,6.7863098552333e-06,"NS"
"G26",0.656426689200145,0.402007106226708,"NS"
"G27",0.466207945030983,0.00319077746242461,"NS"
"G28",-0.23150155488198,0.0383639838357676,"NS"
"G29",-0.504816592022626,0.00488989591671968,"NS"
"G30",-0.00159147328029546,1.68442862352157e-05,"NS"
"G31",0.246860219253441,0.000160205826328207,"NS"
"G32",0.158270185340484,2.45927902411712e-06,"NS"
"G33",0.466412300294674,2.71914383451204e-05,"NS"
"G34",-0.275538532899459,2.03887879969514e-06,"NS"
"G35",0.515313710957672,0.0282740604152918,"NS"
"G36",0.0867524872458203,0.0963924071188644,"NS"
"G37",0.411829244542593,7.51775602909164e-06,"NS"
"G38",2.11421070375619,0.0287343604386311,"NS"
"G39",-2.10702261522861,0.0496584749942904,"NS"
"G40",-0.340726038169628,1.13209650255688e-06,"NS"
"G41",2.45453004472541,0.0084726636133645,"Up"
"G42",-0.801118171104269,0.000689224732480565,"NS"
"G43",0.698896037574218,0.00198173240340326,"NS"
"G44",-0.983719053830059,0.000404215980868307,"NS"
"G45",-0.229120044199284,0.0507133219998313,"NS"
"G46",-1.76425201071632,0.0117417691020655,"NS"
"G47",0.488052866410426,0.226771968393215,"NS"
"G48",0.0642093879332981,0.00172203337380954,"NS"
"G49",1.42776973867589,0.000128615883796255,"Up"
"G50",0.533974300439776,2.27466871132137e-05,"NS"
"G51",-0.543211722042096,0.000132897115759364,"NS"
"G52",-1.58241268855076,1.12556847381084e-06,"Down"
"G53",0.0405999611200472,0.648077639538967,"NS"
"G54",-0.0592534505549469,6.91499154151095e-06,"NS"
"G55",-1.71121188849729,0.209795771736058,"NS"
"G56",-1.03640658362539,0.00532858530170866,"NS"
"G57",0.345674266058469,0.000434150092020515,"NS"
"G58",0.0758976344939761,0.00885006739810149,"NS"
"G59",0.279753314403287,0.143969821561818,"NS"
"G60",0.177857678197077,0.280236733515445,"NS"
"G61",-1.18366931765754,0.000184236283930381,"NS"
"G62",0.0804671811733467,0.0106939542545087,"NS"
"G63",2.16786944597298,6.69757947672805e-05,"Up"
"G64",-0.798693076823213,7.77025334958418e-06,"NS"
"G65",1.19016366919323,0.000692524961490256,"NS"
"G66",-0.677601795908122,0.0850677211593107,"NS"
"G67",-1.31284295348273,0.0804800207230477,"NS"
"G68",1.32097878043015,0.00690619050061259,"Up"
"G69",-2.89379449224317,0.763101756270205,"NS"
"G70",-1.94761774625738,0.0110862128532351,"NS"
"G71",0.248007436172948,0.0781018240940342,"NS"
"G72",0.37444000559126,0.00155775861401339,"NS"
"G73",-0.37099456830552,0.000898617474324154,"NS"
"G74",-1.28093826729977,0.0409095976490679,"NS"
